                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.69672,                0.50156,                 1.0819,                0.94683,                0.94591,                0.97759,                0.82128,                0.61415,                0.36491,                0.94598,               0.001307,               0.001307,               0.001307
                     37,                0.70111,                0.50017,                 1.0796,                0.94426,                0.94087,                0.97827,                0.82416,                0.60805,                0.36919,                0.93923,              0.0012872,              0.0012872,              0.0012872
                     38,                0.70018,                0.50164,                 1.0796,                0.94391,                0.94625,                0.97856,                0.82517,                0.60042,                0.36468,                0.93844,              0.0012674,              0.0012674,              0.0012674
                     39,                0.69531,                0.50491,                 1.0776,                0.94365,                 0.9391,                0.97908,                0.82412,                0.60601,                0.36338,                0.93865,              0.0012476,              0.0012476,              0.0012476
                     40,                 0.6861,                0.49395,                 1.0724,                0.94024,                0.93911,                0.97896,                0.82093,                0.60674,                0.36896,                0.94801,              0.0012278,              0.0012278,              0.0012278
                     41,                0.69007,                0.49176,                 1.0775,                0.93199,                0.95484,                 0.9795,                0.82761,                0.59827,                0.35998,                0.93198,               0.001208,               0.001208,               0.001208
                     42,                  0.686,                0.48927,                 1.0706,                0.93893,                0.94758,                0.97856,                0.83167,                0.59716,                0.36072,                0.93664,              0.0011882,              0.0011882,              0.0011882
                     43,                0.68294,                0.48938,                 1.0719,                0.94267,                0.94733,                0.98004,                0.82861,                0.59615,                0.35686,                 0.9422,              0.0011684,              0.0011684,              0.0011684
                     44,                0.67901,                0.48921,                 1.0732,                0.94887,                0.94377,                0.97952,                0.82829,                0.59838,                0.35237,                0.94318,              0.0011486,              0.0011486,              0.0011486
                     45,                0.66916,                0.47744,                 1.0638,                0.94332,                0.94792,                0.97802,                0.82747,                0.59779,                0.34781,                0.93604,              0.0011288,              0.0011288,              0.0011288
