                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.73693,                0.50433,                  1.106,                0.94961,                 0.9429,                0.97825,                0.81566,                0.62803,                0.36443,                0.96007,               0.006436,               0.006436,               0.006436
                     38,                 0.7288,                0.50524,                 1.1038,                0.94293,                0.95148,                0.97845,                0.81489,                0.63356,                 0.3623,                0.96254,               0.006337,               0.006337,               0.006337
                     39,                0.73152,                0.50365,                  1.105,                0.94618,                0.94582,                0.97843,                0.81756,                0.62742,                0.36423,                0.95479,               0.006238,               0.006238,               0.006238
                     40,                0.72454,                0.49605,                 1.0983,                0.94022,                0.94997,                0.97861,                0.81829,                0.62494,                0.36632,                0.96288,               0.006139,               0.006139,               0.006139
                     41,                0.72667,                0.50049,                 1.1033,                0.94001,                0.95133,                0.97814,                0.81714,                0.62748,                  0.365,                0.96522,                0.00604,                0.00604,                0.00604
                     42,                   0.72,                0.49879,                 1.0991,                0.94001,                0.95012,                0.97743,                  0.818,                0.62795,                0.35654,                 0.9544,               0.005941,               0.005941,               0.005941
                     43,                0.71992,                0.49134,                 1.0978,                0.94438,                0.95268,                0.97799,                0.81772,                0.62375,                0.35421,                0.95489,               0.005842,               0.005842,               0.005842
                     44,                0.71654,                 0.4894,                 1.0988,                0.94605,                0.94602,                0.97889,                  0.821,                0.61717,                0.35735,                0.95969,               0.005743,               0.005743,               0.005743
                     45,                0.71418,                0.48818,                 1.0949,                0.94742,                0.94816,                0.97998,                0.82041,                0.62319,                0.34875,                0.95693,               0.005644,               0.005644,               0.005644
                     46,                 0.7114,                0.48543,                 1.0903,                0.94748,                0.94937,                0.97883,                0.82108,                0.61777,                0.34911,                 0.9572,               0.005545,               0.005545,               0.005545
                     47,                 0.7086,                0.48546,                 1.0949,                 0.9403,                0.95412,                0.97891,                0.82083,                0.61663,                0.34908,                 0.9556,               0.005446,               0.005446,               0.005446
                     48,                0.70197,                0.48059,                 1.0886,                0.94382,                0.95198,                0.97764,                0.82246,                0.61849,                0.34503,                0.95604,               0.005347,               0.005347,               0.005347
                     49,                0.70923,                0.48446,                 1.0921,                0.93593,                0.95319,                0.97868,                0.82283,                0.60981,                0.35363,                0.95205,               0.005248,               0.005248,               0.005248
                     50,                0.70237,                0.47879,                 1.0868,                0.94542,                0.95015,                0.98037,                0.82643,                0.61515,                0.34213,                 0.9583,               0.005149,               0.005149,               0.005149
                     51,                0.70148,                0.47648,                 1.0851,                0.94807,                0.94915,                0.98011,                0.82329,                0.61959,                0.34629,                0.95137,                0.00505,                0.00505,                0.00505
                     52,                0.69369,                0.47134,                 1.0835,                0.94605,                0.95057,                0.97963,                  0.826,                0.61249,                 0.3434,                0.94909,               0.004951,               0.004951,               0.004951
                     53,                0.69484,                 0.4724,                 1.0842,                0.94769,                0.94738,                0.98043,                0.82681,                0.60979,                0.34123,                0.94414,               0.004852,               0.004852,               0.004852
                     54,                0.69464,                0.47056,                 1.0858,                0.94746,                0.94876,                0.97988,                0.82715,                0.61423,                0.34174,                0.95396,               0.004753,               0.004753,               0.004753
                     55,                0.69029,                0.46881,                 1.0799,                0.94634,                0.95012,                0.97896,                0.82643,                0.61099,                0.34695,                0.94854,               0.004654,               0.004654,               0.004654
                     56,                0.69093,                0.46769,                 1.0793,                0.94969,                0.94771,                0.97908,                0.82523,                0.61456,                0.33944,                 0.9468,               0.004555,               0.004555,               0.004555
                     57,                0.68034,                0.46074,                 1.0779,                0.94439,                0.95204,                0.97895,                 0.8237,                0.61587,                0.34414,                0.95505,               0.004456,               0.004456,               0.004456
                     58,                0.68821,                0.46048,                 1.0795,                0.94892,                0.94897,                 0.9808,                0.82826,                 0.6089,                0.33816,                 0.9423,               0.004357,               0.004357,               0.004357
                     59,                0.68225,                0.46058,                 1.0769,                0.94516,                0.94982,                0.98003,                0.82725,                0.61206,                0.33798,                0.95179,               0.004258,               0.004258,               0.004258
                     60,                0.68183,                0.45766,                 1.0726,                0.94601,                0.95509,                0.98011,                0.82991,                0.60954,                0.33392,                0.94679,               0.004159,               0.004159,               0.004159
                     61,                 0.6791,                0.45435,                 1.0762,                0.94931,                0.94552,                0.98123,                0.82858,                 0.6064,                0.33239,                0.94897,                0.00406,                0.00406,                0.00406
                     62,                0.67204,                0.45475,                 1.0668,                0.94514,                0.95464,                0.98098,                0.82957,                0.60943,                0.33162,                0.94021,               0.003961,               0.003961,               0.003961
                     63,                0.66927,                0.45481,                 1.0709,                0.94649,                0.95404,                0.98111,                0.83074,                0.60543,                0.33178,                 0.9491,               0.003862,               0.003862,               0.003862
